1,1,1,
0,1,2,
2,-1,1,
1,0,2,
1,0,1,
5,-4,2,
5,8,-38,
-7,0,-3,
5,4,-17,
0,8,-1,
-3,1,1,
0,9,-27,
3,-3,12,
4,-4,27,
-4,2,-8,
0,10,-22,
5,-2,33,
-1,3,15,
2,3,48,
-1,2,-14,
-1,5,-32,
13,-2,56,
-4,1,-12,
0,6,-29,
1,1,37,
9,-2,18,
-8,4,-27,
1,6,-35,
7,-1,39,
3,-3,29,
1,2,-4,
11,-2,40,
-3,2,-20,
-2,0,-19,
-4,-17,49,
-6,2,-14,
1,3,-27,
7,0,42,
6,0,13,
-5,0,-15,
-1,-1,-26,
8,30,-1,
-4,-2,5,
-8,1,-22,
2,-1,17,
7,-2,15,
-3,3,-19,
1,3,-9,
12,-4,33,
-5,-3,-2,
-2,2,-29,
9,-1,45,
-2,0,-7,
0,2,-21,
-3,2,-5,
1,0,3,
0,-1,3,
0,-1,2,
1,0,2,
1,1,0,
1,-1,1,
1,0,1,
2,1,3,
0,0,1,
0,0,0,
0,0,0,
2,0,0,
1,-1,2,
1,-1,2,
1,0,1,
1,0,1,
2,0,0,
0,1,0,
1,0,3,
0,1,1,
1,0,1,
0,0,1,
0,-1,1,
1,-1,1,
0,-1,1,
0,-1,1,
1,0,1,
1,0,0,
0,0,1,
1,-1,0,
0,0,0,
0,0,2,
2,-1,1,
1,1,-1,
0,0,1,
0,1,1,
1,0,0,
0,1,1,
0,0,0,
1,-1,1,
1,0,2,
0,-1,2,
-1,1,1,
1,0,1,
-1,-1,1,
2,1,0,
1,0,2,
1,0,1,
1,-1,0,
0,0,1,
1,-1,1,
1,0,2,
0,-1,1,
1,0,1,
0,0,1,
0,0,1,
0,-1,1,
0,0,2,
1,0,1,
0,-1,1,
0,-1,1,
0,-1,2,
1,0,0,
1,0,2,
1,1,1,
-10,-2,-11,
-2,-7,-62,
6,-4,30,
11,7,23,
6,-6,-1,
5,0,9,
-4,1,-13,
3,-7,-25,
-4,-7,3,
-18,-2,-2,
-41,-4,3,
3,-1,1,
-11,0,-13,
37,14,1,
2,0,1,
0,0,1,
0,1,1,
0,0,2,
0,0,1,
6,0,0,
-6,17,-24,
-7,-1,1,
-1,-1,0,
3,0,1,
2,2,2,
0,-1,2,
-21,0,1,
-1,33,-28,
25,-13,1,
0,-1,1,
-1,1,2,
4,10,4,
0,-3,-1,
-2,-5,1,
2,1,1,
0,2,1,
-2,-3,2,
0,2,1,
0,-2,1,
1,6,1,
2,1,2,
0,-3,2,
